x, y, solution
0.190476,0.047619,0.274607
0.206349,0.047619,0.283974
0.222222,0.047619,0.290518
0.238095,0.047619,0.294175
0.253968,0.047619,0.294908
0.269841,0.047619,0.29271
0.285714,0.047619,0.287603
0.301587,0.047619,0.279638
0.31746,0.047619,0.268894
0.333333,0.047619,0.255477
0.349206,0.047619,0.239521
0.365079,0.047619,0.221185
0.380952,0.047619,0.200651
0.396825,0.047619,0.178122
0.412698,0.047619,0.153823
0.428571,0.047619,0.127996
0.444444,0.047619,0.100896
0.460317,0.047619,0.0727933
0.47619,0.047619,0.0439674
0.492063,0.047619,0.0147045
0.507937,0.047619,-0.0147045
0.52381,0.047619,-0.0439674
0.539683,0.047619,-0.0727933
0.555556,0.047619,-0.100896
0.571429,0.047619,-0.127996
0.587302,0.047619,-0.153823
0.603175,0.047619,-0.178122
0.619048,0.047619,-0.200651
0.634921,0.047619,-0.221185
0.650794,0.047619,-0.239521
0.666667,0.047619,-0.255477
0.68254,0.047619,-0.268894
0.698413,0.047619,-0.279638
0.714286,0.047619,-0.287603
0.730159,0.047619,-0.29271
0.746032,0.047619,-0.294908
0.761905,0.047619,-0.294175
0.777778,0.047619,-0.290518
0.793651,0.047619,-0.283974
0.809524,0.047619,-0.274607
0.825397,0.047619,-0.262512
0.84127,0.047619,-0.247807
0.857143,0.047619,-0.23064
0.873016,0.047619,-0.21118
0.888889,0.047619,-0.189622
0.904762,0.047619,-0.166179
0.920635,0.047619,-0.141085
0.936508,0.047619,-0.114588
0.952381,0.047619,-0.0869527
0.968254,0.047619,-0.058453
0.984127,0.047619,-0.0293725
1,0.047619,0
0,0.0634921,0
0.015873,0.0634921,0.0387077
0.031746,0.0634921,0.0770307
0.047619,0.0634921,0.114588
0.0634921,0.0634921,0.151007
0.0793651,0.0634921,0.185925
0.0952381,0.0634921,0.218995
0.111111,0.0634921,0.249888
0.126984,0.0634921,0.278298
0.142857,0.0634921,0.303942
0.15873,0.0634921,0.326566
0.174603,0.0634921,0.345944
0.190476,0.0634921,0.361884
0.206349,0.0634921,0.374227
0.222222,0.0634921,0.382851
0.238095,0.0634921,0.38767
0.253968,0.0634921,0.388636
0.269841,0.0634921,0.38574
0.285714,0.0634921,0.37901
0.301587,0.0634921,0.368513
0.31746,0.0634921,0.354354
0.333333,0.0634921,0.336673
0.349206,0.0634921,0.315646
0.365079,0.0634921,0.291483
0.380952,0.0634921,0.264422
0.396825,0.0634921,0.234733
0.412698,0.0634921,0.202712
0.428571,0.0634921,0.168675
0.444444,0.0634921,0.132963
0.460317,0.0634921,0.0959286
0.47619,0.0634921,0.0579412
0.492063,0.0634921,0.0193779
0.507937,0.0634921,-0.0193779
0.52381,0.0634921,-0.0579412
0.539683,0.0634921,-0.0959286
0.555556,0.0634921,-0.132963
0.571429,0.0634921,-0.168675
0.587302,0.0634921,-0.202712
0.603175,0.0634921,-0.234733
0.619048,0.0634921,-0.264422
0.634921,0.0634921,-0.291483
0.650794,0.0634921,-0.315646
0.666667,0.0634921,-0.336673
0.68254,0.0634921,-0.354354
0.698413,0.0634921,-0.368513
0.714286,0.0634921,-0.37901
0.730159,0.0634921,-0.38574
0.746032,0.0634921,-0.388636
0.761905,0.0634921,-0.38767
0.777778,0.0634921,-0.382851
0.793651,0.0634921,-0.374227
0.809524,0.0634921,-0.361884
0.825397,0.0634921,-0.345944
0.84127,0.0634921,-0.326566
0.857143,0.0634921,-0.303942
0.873016,0.0634921,-0.278298
0.888889,0.0634921,-0.249888
0.904762,0.0634921,-0.218995
0.920635,0.0634921,-0.185925
0.936508,0.0634921,-0.151007
0.952381,0.0634921,-0.114588
0.968254,0.0634921,-0.0770307
0.984127,0.0634921,-0.0387077
1,0.0634921,0
0,0.0793651,0
0.015873,0.0793651,0.0476582
0.031746,0.0793651,0.0948428
0.047619,0.0793651,0.141085
0.0634921,0.0793651,0.185925
0.0793651,0.0793651,0.228917
0.0952381,0.0793651,0.269633
0.111111,0.0793651,0.307671
0.126984,0.0793651,0.34265
0.142857,0.0793651,0.374224
0.15873,0.0793651,0.402079
0.174603,0.0793651,0.425938
0.190476,0.0793651,0.445563
0.206349,0.0793651,0.460761
0.222222,0.0793651,0.471379
0.238095,0.0793651,0.477312
0.253968,0.0793651,0.478502
0.269841,0.0793651,0.474936
0.285714,0.0793651,0.46665
0.301587,0.0793651,0.453726
0.31746,0.0793651,0.436293
0.333333,0.0793651,0.414524
0.349206,0.0793651,0.388635
0.365079,0.0793651,0.358883
0.380952,0.0793651,0.325565
0.396825,0.0793651,0.289011
0.412698,0.0793651,0.249585
0.428571,0.0793651,0.207679
0.444444,0.0793651,0.163708
0.460317,0.0793651,0.118111
0.47619,0.0793651,0.0713392
0.492063,0.0793651,0.0238588
0.507937,0.0793651,-0.0238588
0.52381,0.0793651,-0.0713392
0.539683,0.0793651,-0.118111
0.555556,0.0793651,-0.163708
0.571429,0.0793651,-0.207679
0.587302,0.0793651,-0.249585
0.603175,0.0793651,-0.289011
0.619048,0.0793651,-0.325565
0.634921,0.0793651,-0.358883
0.650794,0.0793651,-0.388635
0.666667,0.0793651,-0.414524
0.68254,0.0793651,-0.436293
0.698413,0.0793651,-0.453726
0.714286,0.0793651,-0.46665
0.730159,0.0793651,-0.474936
0.746032,0.0793651,-0.478502
0.761905,0.0793651,-0.477312
0.777778,0.0793651,-0.471379
0.793651,0.0793651,-0.460761
0.809524,0.0793651,-0.445563
0.825397,0.0793651,-0.425938
0.84127,0.0793651,-0.402079
0.857143,0.0793651,-0.374224
0.873016,0.0793651,-0.34265
0.888889,0.0793651,-0.307671
0.904762,0.0793651,-0.269633
0.920635,0.0793651,-0.228917
0.936508,0.0793651,-0.185925
0.952381,0.0793651,-0.141085
0.968254,0.0793651,-0.0948428
0.984127,0.0793651,-0.0476582
1,0.0793651,0
0,0.0952381,0
0.015873,0.0952381,0.0561351
0.031746,0.0952381,0.111712
0.047619,0.0952381,0.166179
0.0634921,0.0952381,0.218995
0.0793651,0.0952381,0.269633
0.0952381,0.0952381,0.317593
0.111111,0.0952381,0.362395
0.126984,0.0952381,0.403597
0.142857,0.0952381,0.440787
0.15873,0.0952381,0.473596
0.174603,0.0952381,0.501698
0.190476,0.0952381,0.524815
0.206349,0.0952381,0.542715
0.222222,0.0952381,0.555222
0.238095,0.0952381,0.562211
0.253968,0.0952381,0.563612
0.269841,0.0952381,0.559412
0.285714,0.0952381,0.549652
0.301587,0.0952381,0.534429
0.31746,0.0952381,0.513895
0.333333,0.0952381,0.488254
0.349206,0.0952381,0.45776
0.365079,0.0952381,0.422717
0.380952,0.0952381,0.383473
0.396825,0.0952381,0.340417
0.412698,0.0952381,0.293978
0.428571,0.0952381,0.244618
0.444444,0.0952381,0.192827
0.460317,0.0952381,0.139119
0.47619,0.0952381,0.0840281
0.492063,0.0952381,0.0281025
0.507937,0.0952381,-0.0281025
0.52381,0.0952381,-0.0840281
0.539683,0.0952381,-0.139119
0.555556,0.0952381,-0.192827
0.571429,0.0952381,-0.244618
0.587302,0.0952381,-0.293978
0.603175,0.0952381,-0.340417
0.619048,0.0952381,-0.383473
0.634921,0.0952381,-0.422717
0.650794,0.0952381,-0.45776
0.666667,0.0952381,-0.488254
0.68254,0.0952381,-0.513895
0.698413,0.0952381,-0.534429
0.714286,0.0952381,-0.549652
0.730159,0.0952381,-0.559412
0.746032,0.0952381,-0.563612
0.761905,0.0952381,-0.562211
0.777778,0.0952381,-0.555222
0.793651,0.0952381,-0.542715
0.809524,0.0952381,-0.524815
0.825397,0.0952381,-0.501698
0.84127,0.0952381,-0.473596
0.857143,0.0952381,-0.440787
0.873016,0.0952381,-0.403597
0.888889,0.0952381,-0.362395
0.904762,0.0952381,-0.317593
0.920635,0.0952381,-0.269633
0.936508,0.0952381,-0.218995
0.952381,0.0952381,-0.166179
0.968254,0.0952381,-0.111712
0.984127,0.0952381,-0.0561351
1,0.0952381,0
0,0.111111,0
0.015873,0.111111,0.064054
0.031746,0.111111,0.127471
0.047619,0.111111,0.189622
0.0634921,0.111111,0.249888
0.0793651,0.111111,0.307671
0.0952381,0.111111,0.362395
0.111111,0.111111,0.413519
0.126984,0.111111,0.460532
0.142857,0.111111,0.502968
0.15873,0.111111,0.540406
0.174603,0.111111,0.572473
0.190476,0.111111,0.59885
0.206349,0.111111,0.619276
0.222222,0.111111,0.633547
0.238095,0.111111,0.641522
0.253968,0.111111,0.643121
0.269841,0.111111,0.638328
0.285714,0.111111,0.627191
0.301587,0.111111,0.609821
0.31746,0.111111,0.586391
0.333333,0.111111,0.557132
0.349206,0.111111,0.522336
0.365079,0.111111,0.48235
0.380952,0.111111,0.437569
0.396825,0.111111,0.38844
0.412698,0.111111,0.33545
0.428571,0.111111,0.279126
0.444444,0.111111,0.220029
0.460317,0.111111,0.158744
0.47619,0.111111,0.095882
0.492063,0.111111,0.0320669
0.507937,0.111111,-0.0320669
0.52381,0.111111,-0.095882
0.539683,0.111111,-0.158744
0.555556,0.111111,-0.220029
0.571429,0.111111,-0.279126
0.587302,0.111111,-0.33545
0.603175,0.111111,-0.38844
0.619048,0.111111,-0.437569
0.634921,0.111111,-0.48235
0.650794,0.111111,-0.522336
0.666667,0.111111,-0.557132
0.68254,0.111111,-0.586391
0.698413,0.111111,-0.609821
0.714286,0.111111,-0.627191
0.730159,0.111111,-0.638328
0.746032,0.111111,-0.643121
0.761905,0.111111,-0.641522
0.777778,0.111111,-0.633547
0.793651,0.111111,-0.619276
0.809524,0.111111,-0.59885
0.825397,0.111111,-0.572473
0.84127,0.111111,-0.540406
0.857143,0.111111,-0.502968
0.873016,0.111111,-0.460532
0.888889,0.111111,-0.413519
0.904762,0.111111,-0.362395
0.920635,0.111111,-0.307671
0.936508,0.111111,-0.249888
0.952381,0.111111,-0.189622
0.968254,0.111111,-0.127471
0.984127,0.111111,-0.064054
1,0.111111,0
0,0.126984,0
0.015873,0.126984,0.0713364
0.031746,0.126984,0.141964
0.047619,0.126984,0.21118
0.0634921,0.126984,0.278298
0.0793651,0.126984,0.34265
0.0952381,0.126984,0.403597
0.111111,0.126984,0.460532
0.126984,0.126984,0.51289
0.142857,0.126984,0.560151
0.15873,0.126984,0.601845
0.174603,0.126984,0.637558
0.190476,0.126984,0.666934
0.206349,0.126984,0.689682
0.222222,0.126984,0.705576
0.238095,0.126984,0.714457
0.253968,0.126984,0.716238
0.269841,0.126984,0.7109
0.285714,0.126984,0.698497
0.301587,0.126984,0.679152
0.31746,0.126984,0.653058
0.333333,0.126984,0.620473
0.349206,0.126984,0.581721
0.365079,0.126984,0.537189
0.380952,0.126984,0.487317
0.396825,0.126984,0.432602
0.412698,0.126984,0.373588
0.428571,0.126984,0.310861
0.444444,0.126984,0.245044
0.460317,0.126984,0.176792
0.47619,0.126984,0.106783
0.492063,0.126984,0.0357126
0.507937,0.126984,-0.0357126
0.52381,0.126984,-0.106783
0.539683,0.126984,-0.176792
0.555556,0.126984,-0.245044
0.571429,0.126984,-0.310861
0.587302,0.126984,-0.373588
0.603175,0.126984,-0.432602
0.619048,0.126984,-0.487317
0.634921,0.126984,-0.537189
0.650794,0.126984,-0.581721
0.666667,0.126984,-0.620473
0.68254,0.126984,-0.653058
0.698413,0.126984,-0.679152
0.714286,0.126984,-0.698497
0.730159,0.126984,-0.7109
0.746032,0.126984,-0.716238
0.761905,0.126984,-0.714457
0.777778,0.126984,-0.705576
0.793651,0.126984,-0.689682
0.809524,0.126984,-0.666934
0.825397,0.126984,-0.637558
0.84127,0.126984,-0.601845
0.857143,0.126984,-0.560151
0.873016,0.126984,-0.51289
0.888889,0.126984,-0.460532
0.904762,0.126984,-0.403597
0.920635,0.126984,-0.34265
0.936508,0.126984,-0.278298
0.952381,0.126984,-0.21118
0.968254,0.126984,-0.141964
0.984127,0.126984,-0.0713364
1,0.126984,0
0,0.142857,0
0.015873,0.142857,0.0779098
0.031746,0.142857,0.155045
0.047619,0.142857,0.23064
0.0634921,0.142857,0.303942
0.0793651,0.142857,0.374224
0.0952381,0.142857,0.440787
0.111111,0.142857,0.502968
0.126984,0.142857,0.560151
0.142857,0.142857,0.611767
0.15873,0.142857,0.657303
0.174603,0.142857,0.696307
0.190476,0.142857,0.72839
0.206349,0.142857,0.753234
0.222222,0.142857,0.770592
0.238095,0.142857,0.780292
0.253968,0.142857,0.782237
