x y solution
0 -0.0322581 0
0.0322581 -0.0322581 0
0.0645161 -0.0322581 0
0.0967742 -0.0322581 0
0.129032 -0.0322581 0
0.16129 -0.0322581 0
0.193548 -0.0322581 0
0.225806 -0.0322581 0
0.258065 -0.0322581 0
0.290323 -0.0322581 0
0.322581 -0.0322581 0
0.354839 -0.0322581 0
0.387097 -0.0322581 0
0.419355 -0.0322581 0
0.451613 -0.0322581 0
0.483871 -0.0322581 0
0.516129 -0.0322581 0
0.548387 -0.0322581 0
0.580645 -0.0322581 0
0.612903 -0.0322581 0
0.645161 -0.0322581 0
0.677419 -0.0322581 0
0.709677 -0.0322581 0
0.741935 -0.0322581 0
0.774194 -0.0322581 0
0.806452 -0.0322581 0
0.83871 -0.0322581 0
0.870968 -0.0322581 0
0.903226 -0.0322581 0
0.935484 -0.0322581 0
0.967742 -0.0322581 0
1 -0.0322581 0
0 0 0
0.0322581 0 0.0406601
0.0645161 0 0.0796556
0.0967742 0 0.11539
0.129032 0 0.1464
0.16129 0 0.171417
0.193548 0 0.189416
0.225806 0 0.19966
0.258065 0 0.20173
0.290323 0 0.195541
0.322581 0 0.181347
0.354839 0 0.159728
0.387097 0 0.13157
0.419355 0 0.0980257
0.451613 0 0.0604681
0.483871 0 0.0204349
0.516129 0 -0.0204349
0.548387 0 -0.0604681
0.580645 0 -0.0980257
0.612903 0 -0.13157
0.645161 0 -0.159728
0.677419 0 -0.181347
0.709677 0 -0.195541
0.741935 0 -0.20173
0.774194 0 -0.19966
0.806452 0 -0.189416
0.83871 0 -0.171417
0.870968 0 -0.1464
0.903226 0 -0.11539
0.935484 0 -0.0796556
0.967742 0 -0.0406601
1 0 0
0 0.0322581 0
0.0322581 0.0322581 0.0796556
0.0645161 0.0322581 0.15605
0.0967742 0.0322581 0.226056
0.129032 0.0322581 0.286807
0.16129 0.0322581 0.335816
0.193548 0.0322581 0.371077
0.225806 0.0322581 0.391145
0.258065 0.0322581 0.395201
0.290323 0.0322581 0.383076
0.322581 0.0322581 0.355269
0.354839 0.0322581 0.312917
0.387097 0.0322581 0.257754
0.419355 0.0322581 0.192038
0.451613 0.0322581 0.118461
0.483871 0.0322581 0.0400332
0.516129 0.0322581 -0.0400332
0.548387 0.0322581 -0.118461
0.580645 0.0322581 -0.192038
0.612903 0.0322581 -0.257754
0.645161 0.0322581 -0.312917
0.677419 0.0322581 -0.355269
0.709677 0.0322581 -0.383076
0.741935 0.0322581 -0.395201
0.774194 0.0322581 -0.391145
0.806452 0.0322581 -0.371077
0.83871 0.0322581 -0.335816
0.870968 0.0322581 -0.286807
0.903226 0.0322581 -0.226056
0.935484 0.0322581 -0.15605
0.967742 0.0322581 -0.0796556
1 0.0322581 0
0 0.0645161 0
0.0322581 0.0645161 0.11539
0.0645161 0.0645161 0.226056
0.0967742 0.0645161 0.327467
0.129032 0.0645161 0.415471
0.16129 0.0645161 0.486467
0.193548 0.0645161 0.537546
0.225806 0.0645161 0.566618
0.258065 0.0645161 0.572492
0.290323 0.0645161 0.554929
0.322581 0.0645161 0.514647
0.354839 0.0645161 0.453295
0.387097 0.0645161 0.373385
0.419355 0.0645161 0.278189
0.451613 0.0645161 0.171603
0.483871 0.0645161 0.0579925
0.516129 0.0645161 -0.0579925
0.548387 0.0645161 -0.171603
0.580645 0.0645161 -0.278189
0.612903 0.0645161 -0.373385
0.645161 0.0645161 -0.453295
